# LIS2DS12 2g mode, 0.061 mg/LSB, raw int16 values
sample,time,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z,s4_x,s4_y,s4_z
0,0.0790,64,496,16192,-336,352,16304,-304,320,16176,-256,912,16352
1,0.0790,96,464,15968,-336,416,16400,-352,528,16272,-144,928,16352
2,0.0790,80,496,16256,-272,432,16256,-336,432,16272,-160,880,16224
3,0.0790,64,496,16128,-288,384,16336,-288,528,16336,-112,896,16192
4,0.0790,144,384,16112,-320,416,16416,-272,528,16352,-192,864,16224
5,0.0790,32,496,16080,-336,416,16400,-256,496,16336,-240,976,16224
6,0.0790,0,464,16128,-368,400,16272,-240,384,16272,-32,928,16368
7,0.0790,32,480,16112,-368,416,16352,-304,416,16208,-160,864,16176
8,0.0790,-32,432,16128,-304,528,16304,-256,384,16304,-64,880,16368
9,0.0790,-32,480,16128,-256,416,16368,-352,480,16240,-144,912,16368
10,0.0790,32,448,16080,-304,416,16272,-288,400,16224,-112,896,16304
11,0.0790,112,432,16144,-336,352,16272,-320,416,16320,-128,928,16240
12,0.0790,80,448,16128,-352,400,16352,-304,416,16208,-48,992,16272
13,0.0790,128,512,16128,-256,352,16320,-208,480,16208,-192,1008,16272
14,0.0790,64,496,16192,-320,400,16368,-304,480,16336,-112,928,16160
15,0.0790,128,416,16096,-288,320,16304,-352,448,16256,-64,992,16288
16,0.0790,160,512,16160,-336,384,16368,-304,496,16352,-128,992,16288
17,0.0790,64,480,16144,-320,304,16400,-256,496,16272,-96,944,16240
18,0.0790,96,496,16144,-304,368,16448,-288,496,16224,-32,880,16256
19,0.0790,64,464,16096,-320,400,16304,-272,448,16400,-176,944,16304
20,0.0790,0,544,16096,-352,416,16336,-448,464,16336,-128,832,16480
21,0.0790,144,480,16112,-256,320,16288,-288,480,16336,-80,1024,16336
22,0.0790,96,496,16176,-352,368,16464,-336,496,16176,-176,864,16224
23,0.0790,32,528,16144,-304,272,16336,-256,480,16272,-80,944,16320
24,0.0790,80,512,16112,-304,336,16304,-336,448,16352,-112,976,16192
25,0.0790,112,528,16080,-288,384,16240,-272,512,16256,-176,992,16400
26,0.0790,112,464,16128,-272,368,16208,-272,448,16384,-128,928,16272
27,0.0790,176,544,16160,-272,368,16352,-304,416,16336,-96,880,16272
28,0.0790,80,496,16080,-272,304,16336,-368,384,16304,-112,928,16192
29,0.0790,112,528,16160,-368,304,16336,-288,432,16304,-64,832,16320
30,0.0790,112,464,16064,-352,352,16288,-256,416,16272,-96,896,16288
31,0.0790,48,448,16048,-224,400,16368,-304,400,16368,-160,928,16272
32,0.0790,64,560,16128,-208,400,16400,-336,448,16144,-144,848,16288
33,0.0790,96,448,16192,-288,288,16272,-240,448,16224,-96,864,16224
34,0.0790,96,480,16112,-320,288,16400,-320,400,16400,-96,976,16288
35,0.0790,80,496,16096,-256,288,16336,-256,432,16400,-112,928,16272
36,0.0790,112,400,16208,-320,384,16272,-304,512,16304,-128,864,16400
37,0.0790,96,480,16112,-272,272,16416,-320,384,16256,-96,992,16320
38,0.0790,64,496,16064,-304,400,16336,-352,368,16352,-176,912,16240
39,0.0790,0,448,16224,-272,368,16416,-272,416,16256,-160,944,16240
40,0.0790,80,416,16256,-336,368,16240,-240,528,16272,-96,880,16208
41,0.0790,96,480,16128,-352,336,16368,-288,400,16288,-192,896,16160
42,0.0790,128,480,16160,-304,304,16400,-288,416,16464,-160,880,16368
43,0.0790,96,480,16096,-336,288,16336,-192,416,16352,-160,832,16304
44,0.0790,64,464,16144,-304,448,16352,-336,416,16288,-112,960,16368
45,0.0790,64,576,16080,-288,368,16384,-352,336,16336,-192,832,16352
46,0.0790,112,384,16096,-240,336,16368,-272,400,16320,-112,864,16352
47,0.0790,80,400,16128,-304,416,16352,-224,416,16304,-160,1024,16336
48,0.0790,96,480,16144,-368,336,16416,-256,384,16368,-128,960,16288
49,0.0790,80,480,16208,-304,352,16256,-160,384,16256,-32,944,16240
50,0.0790,80,480,16192,-304,304,16336,-208,416,16304,-32,816,16240
51,0.0790,64,400,16176,-304,384,16320,-272,448,16304,-128,768,16192
52,0.0790,32,528,16112,-320,400,16336,-352,416,16192,-64,896,16288
53,0.0790,64,400,16192,-368,320,16432,-288,480,16272,-144,896,16272
54,0.0790,128,528,16224,-272,384,16368,-288,400,16256,-144,944,16304
55,0.0790,48,416,16144,-272,320,16352,-288,432,16320,-64,896,16336
56,0.0790,32,384,16144,-336,352,16368,-352,400,16304,-160,896,16240
57,0.0790,64,464,16128,-272,368,16336,-304,416,16320,-48,880,16176
